evidence_id,record_type,source_commit,config_ref,target,horizons,base_information,candidate_information,representation,fit_range,selection_range,evaluation_range,controls,budget,recorded_status,allowed_conclusion,evidence_ref,metadata_sha256
fm_chronos2,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/FM_CALIBRATION_FOLD1_V1.json,hourly275-zone occupancy rate,3;12,168h occupancy -> frozen9quantiles,quantile representation,simplex vs same-information ridge,targets<576,"[576,648)","[576,648), selection-exposed",native;bias;affine;9quantile ridge,lambda=.001/.01/.1; fixed backbone,NO_GO,Simplex constraint not supported; no raw-field exclusion,docs/research/sota/FM_CALIBRATION_REPORT.md,b0d6ebd79c6a0c946ba7d33a028499e1c50c53a65133b04aa8675b33a4b227de
fm_timesfm3,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/FM_CALIBRATION_FOLD1_V1.json,hourly275-zone occupancy rate,3;12,168h occupancy -> frozen9quantiles,quantile representation,simplex vs same-information ridge,targets<576,"[576,648)","[576,648), selection-exposed",native;bias;affine;9quantile ridge,lambda=.001/.01/.1; fixed backbone,NO_GO,Simplex constraint not supported; no raw-field exclusion,docs/research/sota/FM_CALIBRATION_REPORT.md,b0d6ebd79c6a0c946ba7d33a028499e1c50c53a65133b04aa8675b33a4b227de
group_swap,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/DUAL_DIRECTION_PILOT_V1.json,hourly275-zone occupancy rate,3;12,occupancy; own-lag/calendar affinity proxy,group member organization; geographic metadata control,K32 residual-guided swaps,"[0,576)",4 training origins per H,"[576,648)",full275;random;geographic-sort;raw-correlation;random-swap,24proposals each search,NO_GO,"Specific grouping strategy failure, not spatial-information absence",docs/research/sota/DUAL_DIRECTION_PILOT_REPORT.md,b3ea2247d1d987a2556503dd5b9ddbc0deca3147514ba06364a4943eb2cc91a3
observation_operator,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/DUAL_DIRECTION_PILOT_V1.json,hourly275-zone occupancy rate,3;12,occupancy; capacity normalization,lagged duration,concat vs free/structured path operator,"[0,576)","[576,648)","[576,648)",occupancy-only;duration concat;free path,3seeds;20epochs initial;80 additional post-hoc separately disclosed,NO_GO;POST_HOC_OPTIMIZATION_DIAGNOSTIC,No extra operator value established; physical availability remains unqualified,docs/research/sota/DUAL_DIRECTION_PILOT_REPORT.md,b3ea2247d1d987a2556503dd5b9ddbc0deca3147514ba06364a4943eb2cc91a3
signal_replication,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/SIGNAL_REPLICATION_V1.json,hourly275-zone occupancy rate,3;12,occupancy168; fixed correlation grouping,duration vs duplicate/permuted,ridge and frozen Chronos augmentation,"[0,1171)",fixed recipe,"[1171,1318)",occupancy;duplicate;permuted;random groups,ridge=.01; no tuning;H3/H12,JOINT_REPLICATION_FALSE,Ridge line not universal cross-predictor gain; no other-field exclusion,docs/research/sota/SIGNAL_REPLICATION_REPORT.md,e1a6bd8185dcc4985d60f37ae2d915eea9cd463b27fcba51fa38d1df3da089c6
residual_v1,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/RESIDUAL_INFORMATION_V1.json,hourly275-zone occupancy rate,3;12,occupancy lags;calendar;native forecasts,duration residual representation,OLS residualization and ridge,before720/1056/1392,next168h at each cut,same6calibration cells,native;bias;occupancy;duplicate;rawD;permutedD,7systems;alpha0/.25/.5/1,NO_GO,"Registered directions/grid fail joint constraints, not duration uninformative",docs/research/sota/RESIDUAL_INFORMATION_REPORT.md,2b636409cb0f7d6fce2dcf169e8cb082512c865d54b4e90efbb2f4c15f0122e3
continuous_v2,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/CONTINUOUS_V2_CALIBRATION_2H_RUN.json,hourly275-zone occupancy rate,3;12,same V1 information,same frozen residual directions,continuous shared alpha,same V1 direction fits,"[720,888);[1056,1224);[1392,1560)",same selection cells,all7systems retained,one authorized calibration; no new foundation,CALIBRATION_2H_INFORMATION_NO_GO,Small feasible gain below1%; no general variable exclusion,docs/research/sota/CONTINUOUS_V2_CALIBRATION_2H_REPORT.md,d6033a89f0727f1b971e2a0a04c5c637b421008ca819d6b0a373eeeea5eca8ab
dual_risk_probe,current_study_summary,7dd7db862d86268e4a6e6ac95312ba29a359a80b,configs/research/DUAL_RISK_INFORMATION_PROBE_V1.json,hourly275-zone occupancy rate,3;12,native;occupancy head;calendar/horizon features,raw_duration vs duplicate/permuted prediction contrasts,four-output conditional moment ridge; fixed direction rule,A:cut720;B:cuts720+1056,no alpha selection,A:cut1056;B:cut1392,base;duplicate;permuted,8fits;36existing arrays;lambda.01,MECHANISM_SUPPORTED_FOR_NEW_PROTOCOL_DESIGN,Local double descent in this representation; no finite-step1% or field-level cause,docs/research/sota/DUAL_RISK_PROBE_REPORT_20260913.md,2a769432c563644715ad9e574b53254c9a368aa035dd54c13ff896e754d40795
audited-t5-astgcn-occ-3-1-region-P-42-20-15d59ae0,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,astgcn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,bcffbe1c5784253f35a06842d7c6dacc6ac26df4fbef8577fd3d6a316a57e83b
audited-t5-astgcn-occ-3-2-region-P-42-20-7c4ffd3e,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,astgcn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,4e6a2cccdc91d4b6487593097f3c897a13b153d789cdca4d567eea54b30fa00c
audited-t5-fcnn-occ-3-1-region-all-42-20-aa42c1f1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,88592a195a4caed78d32fba1914a050d9610b2bfb0e700c6573297fa4e0e5094
audited-t5-fcnn-occ-3-1-region-h-42-20-d640d7b0,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,31181c389861e91ce55b502b12cee4feec80c089641765ade6b8fe1b83c0c5f7
audited-t5-fcnn-occ-3-1-region-h_Ta-42-20-3232ade1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,9a84804ad3398dfe029120b2f34fb9fdc9346044be75e5b1e2c7c561f56071a4
audited-t5-fcnn-occ-3-1-region-P-42-20-31333c8a,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,1e822658f7688ad70ee61e78864fd987604ebf17e721079183f50d04ef3d2d9f
