run_id,track,table,model,target,horizon,fold,node,feature_group,seed,epoch,execution_status,evidence_status_code,evidence_status,completion_mark,rerun_policy,comparison_fold_count,grade_RMSE,relative_error_RMSE,grade_MAPE,relative_error_MAPE,grade_RAE,relative_error_RAE,grade_MAE,relative_error_MAE,comparison_key,config_fingerprint,returncode,attempt_id,model_failure_count,classification_reason,source_manifest
audited-t3-lo-occ-3-1-region-None-42-20-efa1ea0d,audited,3,lo,occ,3,1,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00017447579108339123,exact,0.00025413185253715973,exact,0.00011473628756140723,exact,0.0007672027358717217,audited|3|lo|3,7f7c2966e80ff5f1d35954303824d7545f854e6417c52b892f9b008351ef4b19,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-3-2-region-None-42-20-4c7c5d63,audited,3,lo,occ,3,2,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00017447579108339123,exact,0.00025413185253715973,exact,0.00011473628756140723,exact,0.0007672027358717217,audited|3|lo|3,91d78093115f7a7c01b607d4bd873565dba62c2edd1f136adcb66a4e45f646ac,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-3-3-region-None-42-20-474dca77,audited,3,lo,occ,3,3,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00017447579108339123,exact,0.00025413185253715973,exact,0.00011473628756140723,exact,0.0007672027358717217,audited|3|lo|3,d45ca9712254f2414d989cc4c75306eae75ade87c654fc996fc784c4def831ac,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-3-4-region-None-42-20-07ed8cfc,audited,3,lo,occ,3,4,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00017447579108339123,exact,0.00025413185253715973,exact,0.00011473628756140723,exact,0.0007672027358717217,audited|3|lo|3,90be8b604fc3b1ee06126efd21c792e11bafd663364bded89366839d2eea287e,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-3-5-region-None-42-20-fa7e9271,audited,3,lo,occ,3,5,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00017447579108339123,exact,0.00025413185253715973,exact,0.00011473628756140723,exact,0.0007672027358717217,audited|3|lo|3,afe51871ba4fd3982ff2687e8a42ed37f1f2f68423109ccfd56889e6fe0ab493,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-3-6-region-None-42-20-57f5be3d,audited,3,lo,occ,3,6,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00017447579108339123,exact,0.00025413185253715973,exact,0.00011473628756140723,exact,0.0007672027358717217,audited|3|lo|3,a73a8bb9512224dda1a129b9ee17485bc29b8b1bd2fe2e024a6a9b44d5ff66a2,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-6-1-region-None-42-20-abae3a33,audited,3,lo,occ,6,1,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00019171588089026824,exact,0.0001950281595014847,exact,1.9452283963069655e-05,exact,0.0005079234646406037,audited|3|lo|6,4731e398823fc145e22d385b0bf0d96b2603900e00b9cb6f6f40e4226357b2bb,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-6-2-region-None-42-20-632e7f2c,audited,3,lo,occ,6,2,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00019171588089026824,exact,0.0001950281595014847,exact,1.9452283963069655e-05,exact,0.0005079234646406037,audited|3|lo|6,cfd2dc8d6b986c04daa555e60b3091845ed4d2ad4a54419790612b14e7e8ea3b,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-6-3-region-None-42-20-415645e3,audited,3,lo,occ,6,3,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00019171588089026824,exact,0.0001950281595014847,exact,1.9452283963069655e-05,exact,0.0005079234646406037,audited|3|lo|6,1670eed4204fa11136b49edd5f17b37a5cd21242744027c2aa33bb859c4a2711,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
audited-t3-lo-occ-6-4-region-None-42-20-00f8214d,audited,3,lo,occ,6,4,region,None,42,20,complete,S2,协议基本一致但有披露差异,✓,reuse_existing_artifact,6,exact,0.00019171588089026824,exact,0.0001950281595014847,exact,1.9452283963069655e-05,exact,0.0005079234646406037,audited|3|lo|6,915ec3a464e3ce1a406c7b36bd1c6ac1304f53595a5aab41ea8fe6cdc611aa0e,0,,0,六折与主要协议可对齐，但存在 audited 修正或至少一项指标为 2%–5% 近似级。,private-evidence://UrbanEV-reproduction/state\manifest_audited_table3.csv
