"id","title","authors","year","venue","output_object","comparison","read_level","helper_status","url","full_text","locator"
"S01","Model Evaluation in the Dark: Robust Classifier Metrics with Missing Labels","Dervovic; Cashmore","2025","AISTATS / PMLR 258","metric bounds and imputation distribution","Finite missing-label evaluation overlaps; shared-trace label image and paired certificates not instantiated","primary_full_sections","UNVERIFIED","https://proceedings.mlr.press/v258/dervovic25a.html","https://arxiv.org/html/2504.18385v1","Sections 2–4; product scenarios, optimistic/pessimistic bounds"
"S02","Weak Supervision Performance Evaluation via Partial Identification","Maia Polo; Maity; Yurochkin; Banerjee; Sun","2024","NeurIPS 37","Frechet risk/metric identification intervals; model selection","Generic g permits a loss difference; marginal-distribution uncertainty differs from fixed trace-consistent completion","primary_full_sections","UNVERIFIED","https://proceedings.neurips.cc/paper_files/paper/2024/hash/f4c6bec746b0aeca8c2cd15096f1ad1f-Abstract-Conference.html","https://proceedings.neurips.cc/paper_files/paper/2024/file/f4c6bec746b0aeca8c2cd15096f1ad1f-Paper-Conference.pdf","Eq.1.1; Sections 3.1,4.3"
"S03","Predictive Performance Comparison of Decision Policies Under Confounding","Guerdan; Coston; Holstein; Wu","2024","ICML / PMLR 235","direct predictive-performance regret interval","Direct comparison and shared-uncertainty cancellation already explicit; no overlapping run labels or trace-consistency hierarchy located","primary_full_sections","UNVERIFIED","https://proceedings.mlr.press/v235/guerdan24a.html","https://arxiv.org/html/2404.00848v1","Sections 3–6; Theorem 4.3; Appendix E.3"
"S04","Does AI help humans make better decisions? A statistical evaluation framework for experimental and observational studies","Ben-Michael; Greiner; Huang; Imai; Jiang; Shin","2025","PNAS 122(38) e2505106122","sharp classification-risk difference bounds","Risk differences under selective labels already explicit; population causal assumptions differ from fixed-panel trace uncertainty","primary_sections_and_author_metadata","UNVERIFIED","https://imai.fas.harvard.edu/research/ai/","https://imai.fas.harvard.edu/research/files/ai.pdf","Section 2.4.1; Theorem 3"
"S05","Sharp performance bounds for clinical early-warning systems with interval-uncertain event onset: a partial-identification framework","Gao, Zhuowei; Sun, Weipeng","2026","Public software OnsetBounds; associated manuscript publication unverified","sharp direct shared-onset policy-comparison bounds","Closest application precedent; one latent onset per patient versus overlapping labels from a missing binary trace; public function returns bounds, not trajectory witness/relaxation hierarchy","primary_source_code","UNVERIFIED","https://github.com/gaozw23/OnsetBounds","https://github.com/gaozw23/OnsetBounds/blob/724cb75d839e498b00bd2653f9e2c8a693ba1d6b/src/onsetbounds/paired.py","paired_valid_bounds; tests/test_paired.py; CITATION.cff"
"S06","Runtime Verification of LTL on Lossy Traces","Joshi; Tchamgoue; Fischmeister","2017","SAC; DOI 10.1145/3019612.3019827","loss-tolerant temporal-property verdict","Incomplete-trace semantics pre-exist; paper full text not obtained, no paired-risk claim identified in accessible material","primary_abstract_only","UNVERIFIED","https://uwaterloo.ca/embedded-software-group/references/runtime-verification-ltl-lossy-traces","","Author-hosted abstract and publication record"
"S07","Robust online monitoring of signal temporal logic","Deshmukh; Donze; Ghosh; Jin; Juniwal; Seshia","2017","Formal Methods in System Design 51:5–30","robust satisfaction interval over signal completions","Min/max over common completed signals already explicit; STL robustness differs from empirical paired forecast loss","primary_full_sections","UNVERIFIED","https://escholarship.org/uc/item/5dw5k0xp","https://escholarship.org/content/qt5dw5k0xp/qt5dw5k0xp_noSplash_e54a6e71b6730093987e6495f41247d5.pdf","Definition 4, Eq.3.1; Definition 5"
"S08","Exploiting Assumptions for Effective Monitoring of Real-Time Properties under Partial Observability","Cimatti; Grosen; Larsen; Tonetta; Zimmermann","2026","Software and Systems Modeling; 10.1007/s10270-026-01394-6","true/false/unknown/inconsistent temporal verdict","Compatible execution sets already foundational; no explicit predictor-risk difference implementation located","primary_full_sections","UNVERIFIED","https://link.springer.com/article/10.1007/s10270-026-01394-6","https://homes.cs.aau.dk/~mzi/publications/abmonitoring_arxiv.pdf","Definition 1; Sections 3.2,4,5"
"S09","A Cost-Regular Based Hybrid Column Generation Approach","Demassey; Pesant; Rousseau","2006","Constraints 11(4):315–333; 10.1007/s10601-006-9003-7","finite-domain regular-language path cost and shortest/longest optimization","Direct computational containment after event-machine and time-layer encoding; no independent DP algorithm novelty","primary_metadata_indexed_abstract_plus_official_implementation_docs","UNVERIFIED","https://sofdem.github.io/biblio.html","https://hanalog.ca/en/publication/cost-regular-based-hybrid-column-generation-approach/","Author records and indexed paper abstract; computational semantics cross-checked with MiniZinc cost_regular/cost_mdd"
"S10","Counterexample-guided Abstraction Refinement","Clarke; Grumberg; Jha; Lu; Veith","2000","CAV 2000; LNCS 1855:154–169","property proof, real counterexample, spurious counterexample","Unrealizable low-order pattern is a standard abstraction counterexample; not a new general certificate type","primary_full_sections","UNVERIFIED","https://web.stanford.edu/class/cs357/cegar.pdf","https://web.stanford.edu/class/cs357/cegar.pdf","Section 1; Section 4 SplitPATH"
